DEBUG | 2023-01-06 23:26:40,221 | client.py | Called function main with params ((<__main__.Client object at 0x000001D55F83BDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:40,728 | client.py | Called function main with params ((<__main__.Client object at 0x000001F65AB8BDC0>,), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:42,696 | client.py | Client created, Account: test1
DEBUG | 2023-01-06 23:26:42,697 | client.py | Presence created test1
DEBUG | 2023-01-06 23:26:42,699 | client.py | Called function create_presence with params ((<__main__.Client object at 0x000002572ADABDC0>,), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:42,730 | client.py | Client created, Account: test2
DEBUG | 2023-01-06 23:26:42,732 | client.py | Presence created test2
DEBUG | 2023-01-06 23:26:42,733 | client.py | Called function create_presence with params ((<__main__.Client object at 0x000002069FE9BDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:42,735 | client.py | Called function answer_handler with params ((<__main__.Client object at 0x000002572ADABDC0>, {'response': 400, 'error': 'BAD REQUEST'}), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:42,735 | client.py | Connected. Server answer: 400 : BAD REQUEST
DEBUG | 2023-01-06 23:26:42,738 | client.py | Process started
DEBUG | 2023-01-06 23:26:42,740 | threading.py | Called function receive_message with params ((<__main__.Client object at 0x000002572ADABDC0>, <socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51624), raddr=('127.0.0.1', 7777)>, 'test1'), {}). From module __main__. From function self._bootstrap_inner(). 
DEBUG | 2023-01-06 23:26:43,245 | client.py | Called function answer_handler with params ((<__main__.Client object at 0x000002069FE9BDC0>, {'response': 400, 'error': 'BAD REQUEST'}), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:43,245 | client.py | Connected. Server answer: 400 : BAD REQUEST
DEBUG | 2023-01-06 23:26:43,247 | client.py | Process started
DEBUG | 2023-01-06 23:26:43,248 | threading.py | Called function receive_message with params ((<__main__.Client object at 0x000002069FE9BDC0>, <socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51625), raddr=('127.0.0.1', 7777)>, 'test2'), {}). From module __main__. From function self._bootstrap_inner(). 
DEBUG | 2023-01-06 23:26:43,751 | client.py | Called function main with params ((<__main__.Client object at 0x000002572ADABDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:44,255 | client.py | Called function main with params ((<__main__.Client object at 0x000002069FE9BDC0>,), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:47,213 | client.py | Client created, Account: test2
DEBUG | 2023-01-06 23:26:47,215 | client.py | Presence created test2
INFO | 2023-01-06 23:26:47,216 | client.py | Client created, Account: test1
 with params ((<__main__.Client object at 0x000002414A2FBDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:47,217 | client.py | Presence created test1
DEBUG | 2023-01-06 23:26:47,219 | client.py | Called function create_presence with params ((<__main__.Client object at 0x0000029850F7BDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:47,222 | client.py | Called function answer_handler with params ((<__main__.Client object at 0x000002414A2FBDC0>, {'response': 400, 'error': 'BAD REQUEST'}), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:47,222 | client.py | Connected. Server answer: 400 : BAD REQUEST
DEBUG | 2023-01-06 23:26:47,230 | client.py | Process started
DEBUG | 2023-01-06 23:26:47,234 | threading.py | Called function receive_message with params ((<__main__.Client object at 0x000002414A2FBDC0>, <socket.socket fd=464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51626), raddr=('127.0.0.1', 7777)>, 'test2'), {}). From module __main__. From function self._bootstrap_inner(). 
DEBUG | 2023-01-06 23:26:47,734 | client.py | Called function answer_handler with params ((<__main__.Client object at 0x0000029850F7BDC0>, {'response': 400, 'error': 'BAD REQUEST'}), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:47,734 | client.py | Connected. Server answer: 400 : BAD REQUEST
DEBUG | 2023-01-06 23:26:47,736 | client.py | Process started
